,Development Name,Address,Property Website,Management Company,Public Phone #,lat,lng
13,Archer Studios,98 Archer Street,http://charitieshousing.org/archer-street/,Charities Housing Management,(408) 550-8300,40.64873619999999,-73.5807158
14,Art Ark,1058 S.5th Street,http://www.artarkapts.com/,"EAH,Inc.",(877) 259-1439,31.1345026,-93.26520099999999
15,Baker Park,4748 Campbell Avenue and Fallbrook Drive,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 379-8440,37.2903647,-121.9843853
16,Barker,3825 Barker Drive,http://www.abodeservices.org/,Abode Services,(408) 941-1850,43.17081,-83.75380299999999
17,Bella Castello,570 Keyes St,http://www.roemcorp.com/projects/bella-castello/,FPI Management,(408) 289-1122,37.3249783,-121.8659945
18,Bendorf Drive Apts.,282 Danze Drive,http://jsco.net/city/san-jose/,John Stewart Company,(408) 362-9233,37.25992,-121.802873
19,Betty Anne Gardens,945 Lundy Ave,http://www.bettyanngardens.org/,"Westlake Realty Group, Inc.",(408) 254-4540,37.3716076,-121.8729282
20,Blossom River,1000 Blossom River Way,http://jsco.net/city/san-jose/,John Stewart Company,(408) 979-9442,37.252235,-121.868406
21,Branham,1579 Branham Lane,http://www.abodeservices.org/,Abode Services,(408) 941-1850,37.254346,-121.900962
22,Bridgeport Apartments,3678 Bridgeport Court,http://www.communityhousingsv.org,C.H.D. PMS,(408) 279-7654,37.30352,-121.96492
23,Brookwood Terrace Family Apartments,1346 E San Antonio St,http://www.roemcorp.com/projects/brookwood-terrace/,FPI Management,(408) 279-5700,37.3449019,-121.8616962
24,Burning Tree,239 Burning Tree,http://www.abodeservices.org/,Abode Services,(408) 941-1850,35.1807677,-79.4881736
25,Calvin,3456 Calvin Avenue,http://www.abodeservices.org/,Abode Services,(408) 941-1850,37.2628259,-121.939744
26,Canoas Terrace,420 Sands Drive,www.fpiliving.com,"FPI Management, Inc.",(408) 448-1592,31.5697355,-84.1323097
27,Cape Cod Court,3680 Cape Cod Court,,NOI Holdings 20 LP,,37.302733,-121.965007
28,Capitol Manor,175 N. Capitol Avenue,http://www.capitolmanor.net/,ALTON MANAGEMENT CORPORATION,(408) 251-9132,37.3662047,-121.8395536
29,Casa Real,2570 Fontaine Rd.,No website,KDF Communities LLC,(408) 238-0841,34.0594929,-80.9952587
30,Catalonia,2036 Evans Lane east side,http://www.edenhousing.org/property-search,Eden Housing Management,(408) 264-0784,32.722795,-97.31839029999999
31,Chai House II,814 St Elizabeth Dr,http://jsco.net/city/san-jose/,John Stewart Company,(408) 947-1818,37.3098571,-121.9149421
32,Charter Court Apartments,2570 Fontaine Rd.,http://www.mynewplace.com/apartment/charter-court-apartments-san-jose-ca-0gw207628635#property_details,"Charter Court SJC LP, a California limited parthership, Owner",(408) 241-1146,34.0594929,-80.9952587
33,Cherry Creek,2020 Southwest Expressway,http://www.mynewplace.com/apartment/cherry-creek-san-jose-ca-80c000143566,"Charter Court SJC LP, a California limited parthership, Owner",(408) 287-6274,37.3002259,-121.9282585
34,Cinnabar Commons,875 Cinnabar St (Stockton Ave@Lenzen Ave),No website,"BRIDGE TOWER, LLC",(408) 289-1010,,
35,Clarendon,7213 Clarendon St.,http://jsco.net/city/san-jose/,John Stewart Company,(408) 366-2114,37.3084422,-122.0302474
36,Colonnade,201 S 4th Street,http://www.gkind.com/pages/san-jose-and-santa-cruz#Colonnade,"G&K Management Company, Inc.",(877) 254-7982,39.3181546,-94.9137512
37,Corde Terra Village Family,2600 Corde Terra Circle,http://www.roemcorp.com/projects/corde-terra-village/,FPI Management,(408) 298-9988,37.3042879,-121.8489385
38,Cornerstone,875 N.10th Street,No website,"EAH,Inc.",(877) 223-5923,35.3915832,-94.4149229
39,Country Hills Apartments,124 Rancho Drive,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 578-8441,37.2825718,-121.8359513
40,Courtyard Plaza Apartments,2950 Story Road,http://www.affordablesearch.com/apartments/Listing.aspx?id=48,FPI Management,(408)Â 929-4221,37.353719,-121.8217841
41,Curtner,1824 Curtner Avenue,http://www.abodeservices.org,Abode Services,(408) 941-1850,37.27711,-121.918126
42,David Avenue Apartments,3068 David Avenue,No website,KDF Communities LLC,(408) 374-0411,37.297246,-121.948763
43,Delmas Park,350 Bird Avenue,http://www.delmasparkapts.com/,"EAH,Inc.",(877) 276-7171,37.3242903,-121.8996838
44,Dent Commons,5363 Dent Ave,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 267-4230,44.50962699999999,-93.3523647
45,Don de Dios,987 Fair Avenue,http://www.eahhousing.org/pages/featureddevelopmentdetail/76,EAH Management,(408) 288-7770,39.37791929999999,-89.0816354
46,Donna,1794 Donna Lane,http://www.abodeservices.org/,Abode Services,(408) 941-1850,37.2620362,-121.9162262
47,Eden Palms,5398 Monterey Road,http://www.edenhousing.org/property-search,Eden Housing Management,(408) 227-5684,37.2571573,-121.8046714
48,El Rancho Verde,300 Checkers Drive,http://www.related.com/ourcompany/properties/49/El-Rancho-Verde-Apartments/,Clark Realty Management,(408) 272-0356,37.3605343,-121.8577234
49,Elena Gardens,1900 Lakewood Drive,http://www.eahhousing.org/pages/featureddevelopmentdetail/81,"EAH,Inc.",(408) 262-6991,37.7387921,-85.8777784
50,Emmanuel Terrace,460 Francis Drive,No website,Emmanuel Terrace Inc.,(408) 923-8280,35.343108,-89.227755
51,Enclave,4349 RENAISSANCE DR,http://www.enclaveapartmenthomes.com,Berkshire,(408) 428-9156,37.4130209,-121.9618844
52,Fairway Glen,488 Toyon Ave,http://www.fairwayglen.com/,Prime Group,(408) 926-3100,37.3835559,-121.8274919
53,Fairways at San Antonio,305 San Antonio Court,http://affirmedhousing.com/projects/fairways/index.html,Affirmed Housing Group,(408) 923-8424,37.3447864,-121.8561721
54,Ford Road Plaza,215 Ford Road,http://www.edenhousing.org/property-search,Eden Housing Management,(510) 582-1460,30.0975181,-95.2289047
55,Fountain Plaza,190 Ryland Street,No website,Legacy Partners,(408) 288-9100,39.5231569,-119.8090681
56,Foxchase Drive Apartments,1070 Foxchase Drive,http://www.kcmapts.com/foxchase,Klingbeil Capital Management Ltd,(408) 723-0600,37.252676,-121.872915
57,Foxdale Manor,1250 Foxdale Loop,No website,KDF Communities LLC,(408) 251-1142,37.346469,-121.8263741
58,Fuji Towers,690 North 5th Street,http://www.japantownsanjose.org/fujitowers.html,Fuji Towers,(408) 275-8989,39.9631924,-75.1467214
59,Giovanni,85 S. 5th Street,http://jsco.net/city/san-jose/page/2/,John Stewart Company,(408) 288-7436,46.0958686,-88.33397029999999
60,Gish Apartments,35 E. Gish Rd,http://www.gishapartments.org/,John Stewart Company,(408) 436-8972,37.3621179,-121.9093283
61,Helzer Court,2960 MacIntyre Drive,http://fpihacsc.com/property/helzer-courts/,FPI Management,(408) 264-3237,37.2840407,-121.8649754
62,Hillsdale Townhomes,1626-1656 Hillsdale Ave,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 267-4230,37.2671444,-121.9065972
63,Hillview Glen,3220 Pearl Avenue,http://www.edenhousing.org/property-search,Eden Housing Management,(408) 723-1644,37.2774869,-121.8704058
64,Huff Gardens,3021 Huff Avenue,http://fpihacsc.com/property/huff-gardens/,FPI Management,(408) 557-8699,37.314352,-121.94839
65,Italian Gardens,1524 Almaden Road,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 293-9118,37.3104165,-121.8780802
66,Julian Gardens,319 North 8th Street,http://jsco.net/city/san-jose/page/2/,John Stewart Company,(408) 295-8440,39.957671,-75.15192499999999
67,Kings Crossing,678 North King Road,http://charitieshousing.org/kings-crossing-apartments/,Charities Housing Management,(408) 564-5016,41.4693903,-86.26229239999999
68,La Fenetre,705 Northrup Street and Parkmoor Avenue,www.caremgt.com,"California Management Company, LLC",(408)Â 295-2066,37.3168078,-121.9081876
69,Las Casitas,632 N. Jackson Ave.,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 251-6850,30.1378877,-92.49826809999999
70,Las Ventanas,1800 Evans Lane,www.caremgt.com,"California Management Company, LLC",(408) 265-9300,43.0957705,-112.6799937
71,Lexington Apartments,1350 Lexington Dr.,No website,,,37.0315234,-85.9194911
72,Lion Villas,2550 S. King Rd.,http://www.lionvillas.com/,Pap Lion Villas LLC,(408) 274-7983,37.320725,-121.822826
73,Lucretia Gardens,2020 Lucretia Ave.,http://jsco.net/property/lucretia-gardens/,John Stewart Company,(408) 295-8440,37.3195788,-121.8468571
74,Market Gateway Housing,535 S.Market St,http://www.marketgatewayapts.com/,"EAH,Inc.",(877) 298-7852,32.513573,-93.74705999999999
75,Masson Building Rehabilitation Project,161 West Santa Clara Street,,,,37.335044,-121.8933952
76,Mayfair Court Apartments,65 McCreery Ave,http://mayfair.pwapt.com/,USA Property Management,(408) 457-3976,37.3540357,-121.8514916
77,Mayfair Golden Manor,2627 Madden Avenue,No website,Mayfair Golden Manor Inc.,(408) 272-1800,37.365752,-121.841193
78,Miraido Village Mixed-use Project,566 N. 6th Street,http://www.miraidovillageapartments.com/san-jose-ca-apartments.asp,"Evans Property Management, Inc.",(408) 297-0990,40.2723858,-96.7466285
79,Monte Alban,1324 Santee Dr,http://jsco.net/property/monte-alban-apartments/,John Stewart Company,(408) 286-1903,37.3320692,-121.8473747
80,Monte Vista Gardens,2601 Nuestra Castillo Court,https://www.jamboreehousing.com/affordable-housing-communities/properties-list/monte-vista-gardens?vwr-type=Partner,Jamboree Housing Corp,(408) 923-3200,37.3573829,-121.8336278
81,Monterey Family Apartments,2774 Monterey Road,http://www.globalpremierdevelopment.com/completed_projects.html,Buckingham Property Mgt,(408) 629-5303,37.2930437,-121.8506889
82,Monterey Grove,6100 Monterey Rd,http://www.montereygrove.com/,"OP Property Management, LP",(408) 600-3271,37.2372836,-121.7716686
83,Moreland Apartments,4375 Payne Avenue,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 554-9585,41.511444,-81.65621829999999
84,North Park I-III,75 Rio Robles East,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934,37.40751290000001,-121.9407003
85,North Park Las Palmas- The Redwoods,180 Alicante Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934,37.40757809999999,-121.9363361
86,North Park Sycamores,70 Descanso Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934,37.4063858,-121.9394557
87,North Park The Laurels,155 Estancia Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934,37.4093069,-121.9384865
88,North Park The Oaks,39 Rio Robles East,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934,37.4066432,-121.9424353
89,North Park The Oaks II,39 Rio Robles East,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934,37.4066432,-121.9424353
90,North Park The Pines,70 Descanso Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(844) 326-3934,37.4063858,-121.9394557
91,Oak Tree Village,100 Branham Lane East,www.caremgt.com,"California Management Company, LLC",(408) 224-2517,37.26856,-121.821391
92,Ohlone Chynoweth Commons,5300 Terner Way,http://www.edenhousing.org/property/ohlone-chynoweth-commons,Eden Housing Management,(408) 265-9374,37.2577751,-121.8622137
93,Ohlone Court,5225 Terner Way and Winfield Boulevard,http://www.bridgehousing.com/properties/family/santa-clara/san-jose/ohlone,Seven Hills Properties,(408) 264-5985,38.352532,-122.7891272
94,Orvieto Family Apartments,80 Montecito Vista Drive,http://www.roemcorp.com/projects/orvieto-family-apartments/,FPI Management,(408) 224-5609,37.2915063,-121.8520573
95,Parkside Glen,810 Hillsdale Avenue and Pearl Avenue,http://www.parksideglen.com/,The Related Company,(408) 264-8291,37.2778548,-121.871725
96,Parkside Terrace,463 Wooster Ave,No website,"AFFORDABLE HOUSING ACCESS, INC.",(949) 253-3120,37.354284,-121.872628
97,Parkview Family,360 Meridian Avenue and San Carlos Street,http://www.eahhousing.org/pages/apartmentdetail/20,EAH Management,(408) 995-0989,37.3272517,-121.8937911
98,Paseo Senter I,"1898, 1908 Senter Rd",http://charitieshousing.org/paseo-senter/,Charities Housing Management,(408) 947-9100,37.3146858,-121.8534309
99,Paseo Senter II,1896 Senter Rd,http://charitieshousing.org/paseo-senter/,Charities Housing Management,(408) 947-9100,37.317055,-121.852897
100,Paula Street,801 Paula Street,,"Westlake Realty Group, Inc.",(408) 287-7844,37.3143395,-121.9062606
101,Pinmore Gardens,1696 Branham Lane,http://fpihacsc.com/property/pinmore-gardens/,FPI Management,(408) 264-3108,37.251306,-121.907999
102,Plaza Maria,115 East Reed Street and Third Street,http://www.dbarchitect.com/project_detail/49/Plaza%20Maria.html,"Mercy Housing California III, L.P.",(408) 293-5253,41.2712153,-88.2176827
103,Poco Way,1900 Poco Way,http://fpihacsc.com/properties/,FPI Management,(408) 923-2099,37.342748,-121.8397
104,Raintree,1058 S. Winchester,www.raintreesanjose.com,PinnacleAMS,(855) 493-8290,37.3068025,-121.9489957
105,Regency Apartments,1315 Eden Ave,No website,,(408) 378-1970,37.3011239,-121.9548574
106,Rincon De Los Esteros,1780 Old Oakland Road,http://www.losesteros.org/,John Stewart Company,(408) 437-1303,38.6292223,-84.0886786
107,Roewill,1059 Roewill Drive,http://www.abodeservices.org/,Abode Services,(408) 941-1850,37.306854,-121.9726
108,Rosemary Family,66 E ROSEMARY ST,http://www.roemcorp.com/projects/1st-and-rosemary-family/,FPI Management,(408) 606-8098,39.7171972,-104.8995732
109,San Jose Apartments,1500 Cunningham Avenue,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 272-3311,37.32515130000001,-121.8367062
110,San Jose Gardens,4668 Albany Drive,http://www.gkind.com,"G&K Management Company, Inc.",(408) 248-0800,37.319847,-121.985238
111,Santa Familia,4984 Severance Drive,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 448-2946,37.2625515,-121.8600622
112,St. Claire Apartments,301 S.First Street,http://www.stclaireapts.com/,Sainte Claire Apartment Homes,(408) 499-2229,31.605065,-81.88768639999999
113,Stonegate,4401 Renaissance Drive,No website,ConAm Management,(408) 922-7255,37.4123946,-121.9602982
114,Summer Breeze,200 Lewis Road,http://www.roemcorp.com/projects/summer-breeze/,FPI Management,(408) 362-9011,44.2052148,-105.6359941
115,Sunset Square,2080 Alum Rock Avenue,http://charitieshousing.org/sunset-square-apartments/,Charities Housing Management,(408) 550-8300,37.3561061,-121.84732
116,Taylor Oaks Apartments,2726-2738 Kollmar,http://www.tayloroaksapartments.com/,FPI Management,(408) 926-3177,37.350854,-121.8247209
117,Terramina Square,410 North White Road,www.caremgt.com,"California Management Company, LLC",(408) 259-8105,37.3769479,-121.8365399
118,The Grove,510 Branham Lane,http://www.communityhousingsv.org/,C.H.D. PMS,(408) 279-7677,37.2656962,-121.8483162
119,Third Street Apartments,1010 S. 3rd Street,No website,,,35.1199242,-90.0550624
120,Thornbridge,5210 Monterey Rd.,www.thornbridgeapartments.com,ConAm Management,(408) 226-6500,37.2614531,-121.8115167
121,Tierra Encantada,1918 Alum Rock Avenue,http://www.communityhousingsv.org/,"FPI Management, Inc.",(408) 926-8082,37.3546561,-121.8511325
122,Town Park Towers,60 North 3rd Street,http://www.ncphs.org/affordable-housing/town-park-towers-san-jose,Northern California Presbyterian Homes & Services,(408) 288-8750,33.4488832,-112.069961
123,Trestles Apartments,1566 Scott St.,http://www.trestles-apts.com/,Fairfield Trestles L.P.,(408) 293-2727,29.73945209999999,-95.34589319999999
124,Troy Apartments,714 S ALMADEN AVE,http://www.firsthousing.com/contact/rental/,"FPI Management, Inc.",(408) 287-7844,37.323807,-121.885272
125,Turnleaf,3201 Loma Verde Drive,http://www.turnleaf-apts.com/,Fairfield Residential LLC,(408) 378-9138,37.2990243,-121.9533789
126,Valley Palms Apartments,2245 Lanai Ave.,No website,KDF Communities LLC,(408) 251-2746,37.322434,-121.832935
127,Vendome Apartments/San Pedro Square Apts.,155 W. Santa Clara St.,,,(408) 817-9435,37.3351208,-121.8932955
128,Verandas,1868 North Capitol Avenue,www.caremgt.com,"California Management Company, LLC",(408) 263-8770,37.403021,-121.880069
129,Villa Monterey,2898 Villa Monterey,No website,VPM Management Inc.,(408) 365-9200,37.2961238,-121.8436966
130,Villa Savannah,4511 Renaissance Drive,www.winnco.com,WinnResidential,(408) 922-9980,37.4112323,-121.958768
131,Villa Solera,1385 Lucretia Avenue,www.caremgt.com,"California Management Company, LLC",(408) 975-0581,37.3256648,-121.854097
132,Villa Torino,29 West Julian Street,http://www.villatorinoapts.com/,Woodmont,(408) 294-3000,39.7171221,-105.0312511
133,Villa Torre I,955 S 6th St,www.caremgt.com,"California Management Company, LLC",(408) 292-4600,39.7921331,-89.6481467
134,Villa Torre II,955 S 6th St,www.caremgt.com,"California Management Company, LLC",(408) 292-4600Â,39.7921331,-89.6481467
135,Village @ Museum Park,465 W San Carlos St,http://www.essexapartmenthomes.com/california/san-francisco-bay-area/san-jose/museum-park,Essex,(866) 547-5813,37.32666950000001,-121.8974444
136,Vintage Tower,235 East Santa Clara St,http://www.vintagetower.freeservers.com/,AMC,(408) 297-4705,37.338749,-121.885654
137,Vivente II,5347 Dent Avenue,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 448-2946,44.509923,-93.35236669999999
138,Waterford Place,1700 N 1st Street,http://www.essexapartmenthomes.com/apartment/waterford-place-san-jose-ca-4p05i6585075,Essex,(408) 335-0155,36.736025,-107.97736
139,Willow Creek,925 Willowleaf Dr,http://willowcreeksanjose.com/,Greystar,(877) 959-3369,37.3095174,-121.9236023
140,Willow Lake,1331 Lakeshore Circle,http://www.essexapartmenthomes.com/apartment/willow-lake-san-jose-ca-301608561068,Essex,(877) 698-6090,37.3845113,-121.8930576
141,Willows Apartments,894 Paula Street,http://fpihacsc.com/properties/,FPI Management,(408) 280-6389,37.3138345,-121.9075011
142,YWCA Third Street,375 South 3rd Street,http://www.ywca-sv.org/contact/index.php,Seven Hills Properties,(408) 295-4011 ext. 200,38.2530767,-85.7554335
