"Development Name","Address","Property Website","Management Company","Public Phone #"
"Mayfair Court Apartments","65 McCreery Ave","http://mayfair.pwapt.com/","USA Property Management","(408) 457-3976"
"Mayfair Golden Manor","2627 Madden Avenue","No website","Mayfair Golden Manor Inc.","(408) 272-1800"
"Miraido Village Mixed-use Project","566 N. 6th Street","http://www.miraidovillageapartments.com/san-jose-ca-apartments.asp","Evans Property Management, Inc.","(408) 297-0990"
"Monte Alban","1324 Santee Dr","http://jsco.net/property/monte-alban-apartments/","John Stewart Company","(408) 286-1903"
"Monte Vista Gardens","2601 Nuestra Castillo Court","https://www.jamboreehousing.com/affordable-housing-communities/properties-list/monte-vista-gardens?vwr-type=Partner","Jamboree Housing Corp","(408) 923-3200"
"Monterey Family Apartments","2774 Monterey Road","http://www.globalpremierdevelopment.com/completed_projects.html","Buckingham Property Mgt","(408) 629-5303"
"Monterey Grove","6100 Monterey Rd","http://www.montereygrove.com/","OP Property Management, LP","(408) 600-3271"
"Moreland Apartments","4375 Payne Avenue","http://www.dkdproperties.com/south%20bay.htm","DKD Property Management Company","(408) 554-9585"
"North Park I-III","75 Rio Robles East","https://www.irvinecompanyapartments.com/communities/north-park","Irvine Management Company","(844) 326-3934"
"North Park Las Palmas- The Redwoods","180 Alicante Drive","https://www.irvinecompanyapartments.com/communities/north-park","Irvine Management Company","(844) 326-3934"
"North Park Sycamores","70 Descanso Drive","https://www.irvinecompanyapartments.com/communities/north-park","Irvine Management Company","(844) 326-3934"
"North Park The Laurels","155 Estancia Drive","https://www.irvinecompanyapartments.com/communities/north-park","Irvine Management Company","(844) 326-3934"
"North Park The Oaks","39 Rio Robles East","https://www.irvinecompanyapartments.com/communities/north-park","Irvine Management Company","(844) 326-3934"
"North Park The Oaks II","39 Rio Robles East","https://www.irvinecompanyapartments.com/communities/north-park","Irvine Management Company","(844) 326-3934"
"North Park The Pines","70 Descanso Drive","https://www.irvinecompanyapartments.com/communities/north-park","Irvine Management Company","(844) 326-3934"
"Oak Tree Village","100 Branham Lane East","www.caremgt.com","California Management Company, LLC","(408) 224-2517"
"Ohlone Chynoweth Commons","5300 Terner Way","http://www.edenhousing.org/property/ohlone-chynoweth-commons","Eden Housing Management","(408) 265-9374"
"Ohlone Court","5225 Terner Way and Winfield Boulevard","http://www.bridgehousing.com/properties/family/santa-clara/san-jose/ohlone","Seven Hills Properties","(408) 264-5985"
"Orvieto Family Apartments","80 Montecito Vista Drive","http://www.roemcorp.com/projects/orvieto-family-apartments/","FPI Management","(408) 224-5609"
"Parkside Glen","810 Hillsdale Avenue and Pearl Avenue","http://www.parksideglen.com/","The Related Company","(408) 264-8291"
"Parkside Terrace","463 Wooster Ave","No website","AFFORDABLE HOUSING ACCESS, INC.","(949) 253-3120"
"Parkview Family","360 Meridian Avenue and San Carlos Street","http://www.eahhousing.org/pages/apartmentdetail/20","EAH Management","(408) 995-0989"
"Paseo Senter I","1898, 1908 Senter Rd","http://charitieshousing.org/paseo-senter/","Charities Housing Management","(408) 947-9100"
"Paseo Senter II","1896 Senter Rd","http://charitieshousing.org/paseo-senter/","Charities Housing Management","(408) 947-9100"
"Paula Street","801 Paula Street","","Westlake Realty Group, Inc.","(408) 287-7844"
"Pinmore Gardens","1696 Branham Lane","http://fpihacsc.com/property/pinmore-gardens/","FPI Management","(408) 264-3108"
"Plaza Maria","115 East Reed Street and Third Street","http://www.dbarchitect.com/project_detail/49/Plaza%20Maria.html","Mercy Housing California III, L.P.","(408) 293-5253"
"Poco Way","1900 Poco Way","http://fpihacsc.com/properties/","FPI Management","(408) 923-2099"
"Raintree","1058 S. Winchester","www.raintreesanjose.com","PinnacleAMS","(855) 493-8290"
"Regency Apartments","1315 Eden Ave","No website","N/A","(408) 378-1970"
"Rincon De Los Esteros","1780 Old Oakland Road","http://www.losesteros.org/","John Stewart Company","(408) 437-1303"
"Roewill","1059 Roewill Drive","http://www.abodeservices.org/","Abode Services","(408) 941-1850"
"Rosemary Family","66 E ROSEMARY ST","http://www.roemcorp.com/projects/1st-and-rosemary-family/","FPI Management","(408) 606-8098"
"San Jose Apartments","1500 Cunningham Avenue","http://www.dkdproperties.com/south%20bay.htm","DKD Property Management Company","(408) 272-3311"
"San Jose Gardens","4668 Albany Drive","http://www.gkind.com","G&K Management Company, Inc.","(408) 248-0800"
"Santa Familia","4984 Severance Drive","http://property.midpen-housing.org/PropertySearch","MidPen Property Management Corporation","(408) 448-2946"
"St. Claire Apartments","301 S.First Street","http://www.stclaireapts.com/","Sainte Claire Apartment Homes","(408) 499-2229"
"Stonegate","4401 Renaissance Drive","No website","ConAm Management","(408) 922-7255"
"Summer Breeze","200 Lewis Road","http://www.roemcorp.com/projects/summer-breeze/","FPI Management","(408) 362-9011"
"Sunset Square","2080 Alum Rock Avenue","http://charitieshousing.org/sunset-square-apartments/","Charities Housing Management","(408) 550-8300"
"Taylor Oaks Apartments","2726-2738 Kollmar","http://www.tayloroaksapartments.com/","FPI Management","(408) 926-3177"
"Terramina Square","410 North White Road","www.caremgt.com","California Management Company, LLC","(408) 259-8105"
"The Grove","510 Branham Lane","http://www.communityhousingsv.org/","C.H.D. PMS","(408) 279-7677"
"Third Street Apartments","1010 S. 3rd Street","No website","N/A","N/A"
"Thornbridge","5210 Monterey Rd.","www.thornbridgeapartments.com","ConAm Management","(408) 226-6500"
"Tierra Encantada","1918 Alum Rock Avenue","http://www.communityhousingsv.org/","FPI Management, Inc.","(408) 926-8082"
"Town Park Towers","60 North 3rd Street","http://www.ncphs.org/affordable-housing/town-park-towers-san-jose","Northern California Presbyterian Homes & Services","(408) 288-8750"
"Trestles Apartments","1566 Scott St.","http://www.trestles-apts.com/","Fairfield Trestles L.P.","(408) 293-2727"
"Troy Apartments","714 S ALMADEN AVE","http://www.firsthousing.com/contact/rental/","FPI Management, Inc.","(408) 287-7844"
"Turnleaf","3201 Loma Verde Drive","http://www.turnleaf-apts.com/","Fairfield Residential LLC","(408) 378-9138"
"Valley Palms Apartments","2245 Lanai Ave.","No website","KDF Communities LLC","(408) 251-2746"
"Vendome Apartments/San Pedro Square Apts.","155 W. Santa Clara St.","N/A","N/A","(408) 817-9435"
"Verandas","1868 North Capitol Avenue","www.caremgt.com","California Management Company, LLC","(408) 263-8770"
"Villa Monterey","2898 Villa Monterey","No website","VPM Management Inc.","(408) 365-9200"
"Villa Savannah","4511 Renaissance Drive","www.winnco.com","WinnResidential","(408) 922-9980"
"Villa Solera","1385 Lucretia Avenue","www.caremgt.com","California Management Company, LLC","(408) 975-0581"
"Villa Torino","29 West Julian Street","http://www.villatorinoapts.com/","Woodmont","(408) 294-3000"
"Villa Torre I","955 S 6th St","www.caremgt.com","California Management Company, LLC","(408) 292-4600"
"Villa Torre II","955 S 6th St","www.caremgt.com","California Management Company, LLC","(408) 292-4600Â"
"Village @ Museum Park","465 W San Carlos St","http://www.essexapartmenthomes.com/california/san-francisco-bay-area/san-jose/museum-park","Essex","(866) 547-5813"
"Vintage Tower","235 East Santa Clara St","http://www.vintagetower.freeservers.com/","AMC","(408) 297-4705"
"Vivente II","5347 Dent Avenue","http://property.midpen-housing.org/PropertySearch","MidPen Property Management Corporation","(408) 448-2946"
"Waterford Place","1700 N 1st Street","http://www.essexapartmenthomes.com/apartment/waterford-place-san-jose-ca-4p05i6585075","Essex","(408) 335-0155"
"Willow Creek","925 Willowleaf Dr","http://willowcreeksanjose.com/","Greystar","(877) 959-3369"
"Willow Lake","1331 Lakeshore Circle","http://www.essexapartmenthomes.com/apartment/willow-lake-san-jose-ca-301608561068","Essex","(877) 698-6090"
"Willows Apartments","894 Paula Street","http://fpihacsc.com/properties/","FPI Management","(408) 280-6389"
"YWCA Third Street","375 South 3rd Street","http://www.ywca-sv.org/contact/index.php","Seven Hills Properties","(408) 295-4011 ext. 200"
